0.808,2.3632
0.897,1.3918
0.146,1.7733
0.508,4.9227
0.852,1.8422
0.673,3.9004
0.505,4.8676
0.606,4.5909
0.131,1.6721
0.891,1.3201
0.715,3.4392
0.055,1.1338
0.774,2.6844
0.58,4.7353
0.925,1.2038
0.543,4.8999
0.175,2.0999
0.395,4.6261
0.727,3.2541
0.452,4.8573
0.145,1.8445
0.824,2.1097
0.322,3.8979
0.152,1.8012
0.478,4.95
0.339,4.1444
0.52,5.0106
0.412,4.6192
0.373,4.3114
0.133,1.6853
0.332,4.0303
0.034,1.094
0.224,2.6903
0.429,4.7289
0.092,1.2384
0.799,2.4014
0.91,1.3626
0.005,0.94435
0.348,4.1103
0.969,0.96364
0.229,2.7247
0.264,3.1731
0.547,4.8592
0.735,3.2415
0.06,1.1063
0.746,3.0667
0.69,3.6992
0.423,4.7201
0.938,1.1619
0.173,2.0679
0.819,2.1399
0.573,4.7709
0.431,4.8957
0.46,4.9352
0.63,4.3519
0.647,4.1845
0.634,4.2523
0.109,1.4279
0.524,4.9636
0.675,3.9375
0.804,2.3858
0.948,1.1268
0.097,1.3752
0.641,4.2242
0.094,1.3215
0.439,4.7837
0.091,1.3204
0.978,0.998
0.282,3.3662
0.882,1.5816
0.711,3.5103
0.99,1.1014
0.67,3.908
0.811,2.2793
0.659,4.1083
0.222,2.7222
0.941,1.1578
0.359,4.2559
0.102,1.5728
0.7,3.6394
0.466,4.9586
0.181,2.1362
0.44,4.7326
0.65,4.2014
0.645,4.2502
0.924,1.1675
0.169,1.9271
0.928,1.1907
0.257,3.2048
0.167,2.0137
0.763,2.8742
0.326,3.9221
0.23,2.7511
0.196,2.3365
0.019,1.0071
0.515,5.0175
0.616,4.5302
0.861,1.6917
0.915,1.3308
0.648,4.2219
0.607,4.5493
0.847,1.8908
0.132,1.562
0.203,2.343
0.123,1.5868
0.671,3.9805
0.163,1.9191
0.293,3.5662
0.684,3.7414
0.854,1.8034
0.194,2.2883
0.076,1.081
0.028,1.016
0.142,1.6967
0.256,3.0251
0.621,4.4429
0.541,4.9809
0.304,3.633
0.61,4.43
0.213,2.531
0.807,2.3296
0.061,1.1407
0.502,4.9876
0.258,3.1359
0.833,2.0621
0.122,1.4708
0.226,2.7096
0.656,4.1586
0.871,1.5418
0.972,1.0216
0.387,4.4968
0.559,4.8465
0.759,2.9385
0.081,1.1746
0.732,3.2482
0.336,3.9617
0.003,0.99776
0.43,4.7986
0.34,4.0616
0.755,2.8923
0.217,2.5913
0.119,1.6069
0.352,4.1889
0.219,2.5152
0.37,4.4113
0.303,3.6559
0.285,3.5068
0.321,3.9062
0.193,2.2808
0.22,2.6449
0.243,3.0039
0.177,2.0703
0.364,4.3193
0.761,2.8675
0.166,2.0978
0.176,2.1739
0.078,1.282
0.77,2.747
0.793,2.5023
0.831,2.0259
0.425,4.7978
0.032,0.96729
0.572,4.7819
0.992,1.054
0.495,4.9043
0.644,4.3706
0.512,5.0414
0.116,1.5711
0.087,1.2922
0.829,2.0386
0.191,2.2745
0.212,2.5374
0.265,3.1809
0.269,3.1493
0.934,1.2003
0.714,3.4224
0.385,4.4588
0.514,5.1311
0.28,3.3717
0.253,3.1535
0.199,2.3672
0.806,2.2808
0.603,4.6505
0.566,4.937
0.01,1.0365
0.29,3.4489
0.077,1.1431
0.582,4.7003
0.979,1.0295
0.668,3.9896
0.405,4.6387
0.974,1.0625
0.323,3.8412
0.168,2.0279
0.596,4.7558
0.553,4.7532
0.009,1.0943
0.766,2.7429
0.134,1.7785
0.951,1.0889
0.803,2.3707
0.248,3.0087
0.121,1.4584
0.023,1.0086
0.519,5.0388
0.467,4.9177
0.129,1.6292
0.462,4.926
0.534,4.9756
0.926,1.2369
0.492,5.0341
0.919,1.2035
0.773,2.6646
