0.88,0.99,-0.98523
0.18,0.61,3.3468
0.7,0.34,-2.4951
0.58,0.11,-1.308
0.04,0.79,1.4809
0,0.54,0.53094
0.38,0.98,3.0427
0.12,0.22,2.2242
0.65,0.03,-2.4119
0.24,0.93,3.957
0.06,0.17,1.2474
0.42,0.69,2.0637
0.56,0.99,-0.049744
0.89,0.1,-1.8209
0.81,0.68,-2.048
0.73,0.25,-2.8337
0.27,0.42,3.3491
0.67,0.23,-2.4364
1,0.11,0.097721
0.1,0.3,2.0816
0.12,0.47,2.5478
0.99,0.21,0.054473
0.38,0.97,2.9733
0.77,0.29,-2.6464
0.31,0.87,3.7325
0.33,0.44,3.0923
0.14,0.44,2.7807
0.83,0.8,-1.8475
0.77,0.59,-2.4799
0.07,0.37,1.7667
0.16,0.23,2.8189
0.52,0.23,-0.15581
0.44,0.75,1.8324
0.06,0.36,1.5064
0.68,0.16,-2.5434
0.96,0.42,-0.33423
0.99,0.08,-0.21052
0.43,0.43,1.6462
0.29,0.84,3.7499
0.78,0.74,-2.27
0.94,0.28,-0.95233
0.38,0.48,2.597
0.76,0.64,-2.3373
0.98,0.96,0.61073
0.58,0.34,-1.1216
0.29,0.59,3.5555
0.61,0.62,-1.2189
0.95,0.59,-0.41767
0.56,0.29,-0.85284
0.89,0.42,-1.4228
0.35,0.79,3.2371
0.82,0.91,-1.8329
0.98,0.43,-0.043139
0.31,0.46,3.1603
0.44,0.88,1.9826
0.97,0.82,0.22094
0.77,0.25,-2.6938
0.85,0.63,-1.784
0.22,0.66,3.561
0.86,0.71,-1.6894
0.45,0.12,1.0294
0.56,0.44,-0.60199
0.71,0.83,-2.0687
0.73,0.57,-2.4419
0.25,0.85,3.9131
0.03,0.53,1.1893
0.78,0.11,-2.739
0.77,0.89,-2.0951
0.55,0.24,-0.67293
0.52,0.7,0.27406
0.74,0.89,-2.1693
0.06,0.66,1.8167
0.24,0.76,3.7403
0.46,0.68,1.5096
0.29,0.05,3.0675
0,0.81,0.83532
0.79,0.39,-2.482
0.51,0.98,0.79724
0.87,0.57,-1.7311
0.08,0.71,2.0652
0.46,0.64,1.4846
0.38,0.88,3.0576
0.91,0.69,-0.92102
0.18,0.05,2.8058
0.43,0.86,2.1727
0.1,0.6,2.276
0.16,0.22,2.7974
0.59,0.91,-0.71539
0.84,0,-2.5128
0.45,0.98,1.9264
0.48,0.99,1.3568
0.66,0.86,-1.7616
0.99,0.99,0.75719
0.24,0.34,3.3952
1,0.4,0.42051
0.47,0.33,0.87921
0.84,0.19,-2.3013
0.96,0.82,0.12524
0.22,0.69,3.6616
0.56,0.42,-0.65818
0.61,0.19,-1.7301
0.6,0.71,-1.1167
0.83,0.6,-1.9606
0,0.75,0.74431
0.02,0.46,0.75176
0.55,0.89,-0.023376
0.26,0.48,3.4001
0.27,0.55,3.5326
0.12,0.83,2.8696
0.18,0,2.7213
0.67,0.63,-2.0774
0.29,0.48,3.4404
0.4,0.5,2.3427
0.38,0.57,2.6973
0.95,0.51,-0.44534
0.68,0.47,-2.1918
1,0.91,0.87403
0.41,0.41,1.9449
0.97,0.05,-0.63179
0.73,0.35,-2.6779
0.04,0.5,1.2091
0.43,0.07,1.2553
0.29,0.18,3.075
0.51,0.7,0.41918
0.39,0.16,2.1075
0.39,0.54,2.5221
0.18,0.71,3.2713
0.82,0.63,-2.0729
0.15,0.35,2.7686
0.23,0.87,3.7716
0.85,0.66,-1.6876
1,0.71,0.69403
0.88,0.73,-1.2552
0.78,0.32,-2.7053
0.6,0.55,-1.2137
0.68,0.65,-2.1649
0.45,0.78,1.6966
0.67,0.81,-1.7941
0.45,0.65,1.6286
0.67,0.04,-2.6683
0.74,0.77,-2.3046
0.54,0.34,-0.40093
0.93,0.52,-0.6649
0.79,0.63,-2.2753
0.45,0.38,1.3587
0.04,0.67,1.3587
0.88,0.18,-1.9174
0.64,0.23,-2.1029
0.77,0.24,-2.7948
0.94,0.13,-1.02
0.36,0.08,2.364
0.34,0.31,2.8858
0.99,0.6,0.36399
0.15,0.5,2.9298
0.33,0.09,2.7826
0.42,0.19,1.6178
0.06,0.23,1.4367
0.53,0.98,0.39645
0.8,0.39,-2.4794
0.05,0.56,1.407
0.21,0.09,2.9888
0.14,0.92,3.1828
0.41,0.88,2.5194
0.1,0.97,2.6964
0.57,0.91,-0.33059
0.68,0.38,-2.319
0.98,1,0.63181
0.81,0.01,-2.739
0.22,0.74,3.641
0.97,0.89,0.31673
0.21,0.13,3.082
0.65,0.1,-2.4282
0.7,0.22,-2.6287
0.81,0.61,-2.109
0.99,0.12,-0.067389
0.9,0.61,-1.2068
0.05,0.02,0.97983
0.85,0.33,-2.0475
0.17,0.46,3.0092
0.36,0.65,2.962
0.37,0.45,2.6986
0.55,0.21,-0.75892
0.68,0.83,-1.9518
0.87,0.35,-1.8061
0.62,0.06,-2.1164
0.99,0.18,-0.011641
0.27,0.15,3.1222
0.82,0.78,-1.9196
0.01,0.79,0.98623
0.54,0.59,-0.15059
0.64,0.76,-1.5042
0.61,0.4,-1.5103
0.53,0.15,-0.41885
0.74,0.76,-2.2955
0.41,1,2.5138
0.48,0.91,1.2997
0.38,0.13,2.1821
0.46,0.99,1.7633
0.17,0.47,3.0655
0.23,0.82,3.7816
0.32,0.78,3.4332
0.23,0.47,3.5004
0.97,0.83,0.19167
0.21,0.85,3.7185
0.14,0.17,2.444
0.71,0.3,-2.603
0.98,0.17,-0.10012
0.06,0.89,1.9548
0.4,0.96,2.6616
0.33,0.5,3.0688
0.1,0.87,2.5823
0.22,0.8,3.6411
0.94,0.62,-0.43663
0.93,0.27,-1.078
0.09,0.9,2.4528
0.94,0.63,-0.45277
0.35,0.83,3.2056
0.74,0.03,-2.9574
0.18,0.78,3.5443
0.95,0.3,-0.70105
0.44,0.5,1.6065
0.26,0.97,4.0064
0.35,0.35,2.7405
0.39,0.76,2.7993
0.24,0.01,2.9186
0.59,0.06,-1.4475
0.01,0.96,1.1381
0.39,0.9,2.7984
0.1,0.28,2.0712
0.47,0.93,1.5558
0.69,0.23,-2.4614
0.63,0.46,-1.766
0.06,0.54,1.6743
0.36,0.57,2.9988
0.08,0.4,1.8324
0.44,0.22,1.2938
0.14,0.13,2.395
0.45,0.03,0.98719
0.85,0.46,-2.0147
0.39,0.91,2.7833
0.85,0.73,-1.6894
0.9,0.01,-1.8448
0.75,0.62,-2.4405
0.25,0.71,3.7417
0.25,0.67,3.6945
0.2,0.42,3.4042
0.85,0.08,-2.3321
0.21,0.17,3.0214
1,0.64,0.62759
0.98,0.15,-0.26609
0.59,0.45,-1.1368
0.58,0.8,-0.52979
0.45,0.02,0.9004
0.15,0.01,2.4815
0.27,0.97,3.9818
0.21,0.1,3.0286
0.88,0.32,-1.7603
0.55,0.55,-0.41327
0.64,0.29,-1.979
0.73,0.17,-2.736
0.01,0.94,1.0674
0.3,0.61,3.4029
0.65,0,-2.5302
0.04,0.63,1.217
0.31,0.4,3.1164
0.4,0.75,2.4828
0.33,0.55,3.2248
0.07,0.13,1.4011
0.48,0.4,0.76647
0.05,0.67,1.5166
0.63,0.91,-1.3972
0.97,0.84,0.29486
0.8,0.88,-1.9761
0.85,0.4,-1.9575
0.2,0.88,3.8482
0.86,0.65,-1.627
0.75,0.26,-2.7573
0.82,0.69,-2.0899
0.88,0.37,-1.6695
0.26,0.12,3.146
0.63,1,-1.0625
0.17,0.66,3.3745
0.14,0.3,2.589
0.32,0.64,3.3617
0.28,0.78,3.6228
0.6,0.59,-1.2235
0.46,0.75,1.5081
0.63,0.08,-2.1306
0.47,0.56,1.2024
0.82,0.37,-2.2282
0.33,0.79,3.3857
0.3,0.77,3.6354
0.26,0.29,3.1471
0.62,0.37,-1.7324
0.36,0.48,2.8679
0.83,0.41,-2.2048
0.31,0.77,3.6107
0.09,0.97,2.5916
0.27,0.5,3.4829
0.35,0.72,3.1489
0,0.58,0.53725
0.58,0.1,-1.3416
0.41,0.22,1.7473
0.78,0.25,-2.7782
0.44,0.93,1.9933
0.47,0.42,0.86173
0.94,0.24,-0.85271
0.79,0.58,-2.2786
0.08,0.68,2.1562
0.67,0.05,-2.6119
0.39,0.07,1.9154
0.43,0.88,2.2604
0.07,0.25,1.6157
0.72,0.94,-2.1054
0.98,0.82,0.53449
0.12,0.92,2.9831
0.31,0.64,3.4085
0.47,0.96,1.5869
0.35,0.09,2.537
0.8,0.24,-2.684
0.52,0.52,0.16655
0.59,0.03,-1.5911
0.49,0,0.14929
0.96,0.63,-0.19516
0.19,0.24,2.9622
0.43,0.47,1.7731
0.86,0.04,-2.1914
0.66,0.79,-1.7868
0.63,0.12,-2.1175
0.56,0.22,-0.97292
0.22,0,2.9469
0.9,0.05,-1.5897
